DATE,IBM_CLOSE,AAPL_CLOSE,IBM_SHARE,AAPL_SHARE
2013/2/4,196.51,60.63,2544.399776,8246.742537
2013/2/1,197.85,62.18,2527.167046,8041.170794
2013/1/31,195.81,62.44,2553.495736,8007.68738
2013/1/30,196.25,62.62,2547.770701,7984.669435
2013/1/29,196.61,62.82,2543.105641,7959.248647
2013/1/28,197.61,61.66,2530.236324,8108.984755
2013/1/25,197.65,60.3,2529.72426,8291.873964
2013/1/24,197.12,61.75,2536.525974,8097.165992
2013/1/23,197.4,70.46,2532.928065,7096.224808
2013/1/22,189.07,69.19,2644.523192,7226.477815
2013/1/18,187.52,68.54,2666.382253,7295.010213
2013/1/17,186.73,68.91,2677.662936,7255.840952
2013/1/16,185.71,69.37,2692.369824,7207.726683
2013/1/15,185.62,66.61,2693.675251,7506.380423
2013/1/14,185.74,68.78,2691.934963,7269.555103
2013/1/11,187.5,71.32,2666.666667,7010.656197
2013/1/10,185.99,71.76,2688.316576,6967.670011
2013/1/9,185.45,70.88,2696.144513,7054.176072
2013/1/8,185.98,72.01,2688.461125,6943.480072
2013/1/7,186.24,71.81,2684.707904,6962.818549
2013/1/4,187.06,72.24,2672.939164,6921.3732
2013/1/3,188.29,74.31,2655.478252,6728.569506
2013/1/2,189.33,75.26,2640.891565,6643.635397
2012/12/31,184.71,72.95,2706.946023,6854.009596
2012/12/28,183.05,69.85,2731.494127,7158.196135
2012/12/27,185.82,70.6,2690.77602,7082.152975
2012/12/26,185.09,70.32,2701.388514,7110.352673
2012/12/24,185.52,71.3,2695.12721,7012.622721
2012/12/21,186.51,71.19,2680.821404,7023.458351
2012/12/20,187.81,71.52,2662.265055,6991.051454
2012/12/19,188.11,72.14,2658.019244,6930.967563
2012/12/18,188.7,73.18,2649.708532,6832.467887
2012/12/17,186.7,71.12,2678.093198,7030.371204
2012/12/14,184.91,69.88,2704.018171,7155.123068
2012/12/13,185.13,72.61,2700.80484,6886.103842
2012/12/12,186.06,73.88,2687.30517,6767.731456
2012/12/11,187.26,74.21,2670.084375,6737.636437
2012/12/10,185.74,72.63,2691.934963,6884.207628
2012/12/7,185.09,73.1,2701.388514,6839.94528
2012/12/6,182.92,75.01,2733.435382,6665.777896
2012/12/5,181.91,73.86,2748.611951,6769.56404
2012/12/4,182.59,78.94,2738.375596,6333.9245
2012/12/3,182.71,80.35,2736.577089,6222.775358
2012/11/30,183.28,80.23,2728.066347,6232.082762
2012/11/29,184.69,80.79,2707.239158,6188.884763
2012/11/28,185.12,79.91,2700.950735,6257.039169
2012/11/27,184.4,80.16,2711.496746,6237.52495
2012/11/26,185.99,80.81,2688.316576,6187.35305
2012/11/23,186.58,78.34,2679.815629,6382.435537
2012/11/21,183.49,77,2724.944139,6493.506494
2012/11/20,182.44,76.89,2740.627055,6502.796202
2012/11/19,183.55,77.55,2724.053391,6447.453256
2012/11/16,180.26,72.33,2773.771219,6912.760957
2012/11/15,179.21,72.05,2790.022878,6939.62526
2012/11/14,178.88,73.59,2795.169946,6794.401413
2012/11/13,181.59,74.42,2753.455587,6718.624026
2012/11/12,182.49,74.41,2739.876158,6719.526945
2012/11/9,182.86,74.99,2734.332276,6667.555674
2012/11/8,183.31,73.71,2727.619879,6783.340117
2012/11/7,184.33,76.49,2712.526447,6536.802196
2012/11/6,187.28,79.53,2669.799231,6286.935748
2012/11/5,186.39,79.77,2682.547347,6268.020559
2012/11/2,185.71,78.71,2692.369824,6352.432982
