DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2011-12-21 00:00:00,-23817.81227098999,70612.48468133993,68543.29597433083,60750.82017549267,61019.552446729154,73528.53969143913,73834.21754326636,58722.858403472695,57334.774074487534,74272.45319136465,71375.07122184153
2011-12-20 00:00:00,215.87550677009858,70612.48468133993,68543.29597433083,60663.03848815663,60930.86317266198,73348.75776025979,73654.48602202779,56881.88792274776,57086.71935091991,78442.73278637487,78764.60781847568
2011-12-19 00:00:00,-37424.23610887991,70612.48468133993,68543.29597433083,60592.97097821196,60860.94370843889,73456.2480491196,73761.27439554757,59304.952644153615,59649.18477586371,66625.3916322228,68526.25084671563
2011-12-16 00:00:00,-32480.964306109818,70612.48468133993,68543.29597433083,60692.598029889166,60960.70838338067,73531.50226880994,73836.79008165724,53652.35656944895,53588.33263122789,78695.75117131113,77549.93399173433
2011-12-15 00:00:00,-11318.755967880134,70612.48468133993,68543.29597433083,60605.649851900875,60873.743549943785,73496.41015060514,73801.90777264477,65121.72108885844,61015.75263245668,77462.69286280894,73474.88925615496
2011-12-14 00:00:00,-2195.623407920124,70612.48468133993,68543.29597433083,60501.43771229172,60769.35706557927,73507.81822553743,73813.55901489244,60775.20433038252,60480.56186500184,76491.48880003206,71908.60502197676
2011-12-13 00:00:00,1052.9636324901367,70612.48468133993,68543.29597433083,60367.247339823516,60635.17077952658,73262.32748846477,73568.02863600093,58207.66483245022,55805.83415501486,82967.37194522703,76313.17638327826
2011-12-12 00:00:00,36474.202161679976,70612.48468133993,68543.29597433083,60291.731367043685,60559.58293618541,73246.85607818118,73552.78281215578,67406.89202933526,62778.115767103496,76449.7148289918,70402.83816389133
2011-12-09 00:00:00,44225.767348340014,70612.48468133993,68543.29597433083,60355.90337059426,60623.59998154477,73198.46045017405,73504.5858088145,54658.879865237046,55612.402331724974,82395.49320626655,80738.88735786064
2011-12-08 00:00:00,25683.02890007,70612.48468133993,68543.29597433083,60296.317936918,60564.82721505605,73365.04667066562,73671.27975449059,60515.49658371392,61627.23342294324,72978.26601003692,73097.73887977167
2011-12-07 00:00:00,25191.66807156999,70612.48468133993,68543.29597433083,60285.85503293539,60554.366950468044,73383.96954280592,73690.45019411843,62523.22897450323,63490.96087576112,68590.03762376332,74005.21767017819
2011-12-06 00:00:00,7375.23898687982,70612.48468133993,68543.29597433083,60494.85186842922,60763.53543283651,73468.36213638319,73775.10354897776,54711.66367403348,54951.955550067,74884.59370330162,73540.09491313573
2011-12-05 00:00:00,-2010.7415329901269,70612.48468133993,68543.29597433083,60675.32249485771,60944.044052355806,73578.33693647338,73885.32734673936,59527.06450007355,58272.569520507765,84210.3778809075,82499.72834227358
2011-12-02 00:00:00,-17932.160967439995,70612.48468133993,68543.29597433083,60681.349383719265,60950.066795031074,73724.72829777235,74031.91399964981,57886.60072327731,54951.8243171871,71823.2678763998,70174.6448244122
2011-12-01 00:00:00,-9131.50037661998,70612.48468133993,68543.29597433083,60805.14222453267,61073.73478192964,73834.09748067847,74141.53286495036,63147.662616185145,61997.43220839786,67412.90793134645,65657.42134704693
2011-11-30 00:00:00,-25148.917480800068,70612.48468133993,68543.29597433083,60772.342064306955,61039.79377591412,74000.99237018684,74308.53975477128,59898.20879406552,61170.11165866105,81382.86712438497,79557.58471324752
2011-11-29 00:00:00,-56923.01207261998,70612.48468133993,68543.29597433083,60669.66449209477,60937.05517289601,74095.42011278821,74402.17665654037,56666.114525525365,61403.59833769139,74763.19686433463,78232.51060537071
2011-11-28 00:00:00,-46175.24365945987,70612.48468133993,68543.29597433083,60857.728330978076,61124.21779985225,74068.81134797074,74375.78542906593,62629.55021614907,60494.611142709655,84800.69270976889,83580.91716110545
2011-11-25 00:00:00,-71485.93557435996,70612.48468133993,68543.29597433083,60804.24724737462,61070.690305226366,74159.36374588974,74465.52592328365,61174.20825307164,61577.096967786005,72733.16050948575,75268.11050374265
